epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4329,1.46029,2.79068,1.29528,1,0.0733,0.72123,0.35852,1.459,3.09213,1.11824,0.000651515,0.000651515,0.000651515
2,11.6543,1.52273,2.0666,1.25663,0.38614,0.26437,0.26158,0.11182,1.6185,3.29147,1.37096,0.00129954,0.00129954,0.00129954
3,16.783,1.57262,2.06767,1.32345,0.44321,0.49425,0.34573,0.16727,1.61253,2.40886,1.40751,0.00192871,0.00192871,0.00192871
4,21.7321,1.54914,1.86767,1.32302,0.89163,0.57471,0.68052,0.34814,1.64833,1.8329,1.39884,0.00191514,0.00191514,0.00191514
5,26.7464,1.48602,1.66958,1.31011,0.70857,0.70115,0.71694,0.38495,1.65128,1.78648,1.33483,0.00188686,0.00188686,0.00188686
6,31.9296,1.53129,1.58353,1.36287,0.45241,0.54023,0.40137,0.20299,1.68836,2.28205,1.45215,0.00185857,0.00185857,0.00185857
7,37.313,1.47312,1.50564,1.28616,0.65717,0.73563,0.69632,0.36815,1.6325,1.58703,1.39656,0.00183029,0.00183029,0.00183029
8,43.8011,1.51994,1.45747,1.34936,0.87235,0.70697,0.81241,0.40805,1.57971,1.54418,1.35407,0.001802,0.001802,0.001802
9,50.2362,1.46342,1.34501,1.28031,0.79764,0.73563,0.75164,0.40918,1.56062,1.36892,1.34097,0.00177371,0.00177371,0.00177371
10,56.684,1.43167,1.27018,1.27211,0.88456,0.79265,0.83285,0.44954,1.53788,1.23947,1.37032,0.00174543,0.00174543,0.00174543
11,63.1622,1.42382,1.19176,1.29642,0.87341,0.79307,0.86769,0.46142,1.55846,1.04316,1.31442,0.00171714,0.00171714,0.00171714
12,69.6711,1.44565,1.15518,1.28414,0.81569,0.85057,0.837,0.451,1.46485,1.06948,1.30334,0.00168886,0.00168886,0.00168886
